org_id,org_name,address,org_type,"longitude, latitude",phone,description,image
0001,Crowder Owens Food Bank,"605 Rhode Island Ave NE, Washington, DC 20002",food_bank,"38.920437685917676, -76.99771896104883",(202) 529-2299,[Insert Paragraph],https://flccdc.org/wp-content/uploads/2024/12/cofb-mission-vision_orig.png
0002,Capital Area Food Bank,"4900 Puerto Rico Ave NE, Washington, DC 20017 ",food_bank,"38.94819839133506, -76.99979673406605",(202) 644-9800,[Insert Paragraph],https://www.capitalareafoodbank.org/wp-content/themes/capital-area-food-bank/silc/build/img/CAFB_Logo.svg
0003,Bread for the City Southeast Food Distribution Center,"1700 Marion Barry Ave SE, Washington, DC 20020 ",food_bank,"38.9108140015539, -77.02150197268551",(202) 265-2400,[Insert Paragraph],https://breadforthecity.org/wp-content/uploads/2023/01/logo.svg
0004,Project Create Arts Center,"2208 Martin Luther King Jr Ave SE, Washington, DC 20020",youth_focused,"38.864610878888385, -76.989634088033",(202) 889-0655,[Insert Paragraph],https://projectcreatedc.org/wp-content/uploads/2022/03/Project-Create-Logo-768x327.png
0005,Little Lights,"760 7th St SE, Washington, DC 20003",youth_focused,"38.87963358362598, -76.99592594949335",(202) 548-4021,[Insert Paragraph],https://littlelights.org/wp-content/uploads/2021/02/Artboard-2-copy-e1612539882601.png
0006,Access Youth Inc ,"1101 30th St NW, Washington, DC 20007",youth_focused,"38.90454430322531, -77.05872709174078",(202) 652-0287,[Insert Paragraph],https://images.squarespace-cdn.com/content/v1/6581ec14016d3423f4d02863/0fa8ca46-82a0-46e0-9c44-bdfd5ba41f37/access_youth_logo_web.png?format=1500w
0007,BOSSDC Nonprofit for Youth Development ,"1231 Marion Barry Ave SE, Washington, DC 20020",youth_focused,"38.867206716532706, -76.9875512457057",(202) 903-8638,[Insert Paragraph],https://www.bossdc.org/wp-content/uploads/al_opt_content/IMAGE/www.bossdc.org/wp-content/uploads/2025/10/76945462.png.bv.webp?bv_host=www.bossdc.org
0008,"Active Minds, Inc. ","2001 S St NW #700, Washington, DC 20009 ",youth_focused,"38.91441085125684, -77.04514677454003",(202) 332-9595,[Insert Paragraph],https://assets.activeminds.org/wp-content/uploads/2025/03/active_minds-logo-stacked-full_color-NAV.png?strip=all
0009,City Blossoms,"516 Kennedy St NW, Washington, DC 20011",youth_focused,"38.956436547090696, -77.0207382033746",(202) 882-2628,[Insert Paragraph],https://images.squarespace-cdn.com/content/v1/5556a39be4b0741e9be3f1e4/1433007050216-Z0IZD0YGMG6Q7UX5WT2K/cityblossoms_logo2_bgy_just+words.jpg?format=1500w
0010,Greater Fellowship Gospel Baptist Church ,"814 Alabama Ave SE, Washington, DC 20032 ",church,"38.84408757148174, -76.9939754417433",(202) 561-5594,[Insert Paragraph],https://storage1.snappages.site/3VDZR8/assets/images/6128814_2000x2000_500.png
