org_id,org_name,address,org_type,"lat, long",phone,description,website,image,
0001,Crowder Owens Food Bank,"605 Rhode Island Ave NE, Washington, DC 20002",food_bank,"38.920437685917676, -76.99771896104883",(202) 529-2299,"Crowder Owens Food Bank (COFB) is a Washington, DC based community organization dedicated to fighting hunger while restoring hope, dignity, and opportunity. COFB believes that everyone deserves access to nutritious foods, regardless of their circumstances. Through food distribution, community partnerships, and compassionate service, they work to ensure that individuals and families have the resources they need to thrive.",https://flccdc.org/crowder-owens-food-bank/,https://flccdc.org/wp-content/uploads/2024/12/cofb-mission-vision_orig.png,
0002,Capital Area Food Bank,"4900 Puerto Rico Ave NE, Washington, DC 20017 ",food_bank,"38.94819839133506, -76.99979673406605",(202) 644-9800,"The Capital Area Food Bank (CAFB) is a metropolitan-based community organization dedicated to being an anchor for hunger relief in the region. With the help of farmers, wholesalers, restaurants, community members, and others, CAFB sources the food for more than 60 million meals each year. And thanks to hundreds of partners in the community, this food bank is able to get food to the individuals and families who need it most.",https://www.capitalareafoodbank.org/,https://www.capitalareafoodbank.org/wp-content/themes/capital-area-food-bank/silc/build/img/CAFB_Logo.svg,
0003,Bread for the City Southeast Food Distribution Center,"1700 Marion Barry Ave SE, Washington, DC 20020 ",food_bank,"38.9108140015539, -77.02150197268551",(202) 265-2400,"The mission of Bread for the City is to help Washington, DC residents living with low income to develop their power to determine the future of their own communities. We provide food, clothing, medical care, and legal and social services to reduce the burden of poverty. We seek justice through community organizing and public advocacy. We work to uproot racism, a major cause of poverty. We are committed to treating our clients with the dignity and respect that all people deserve.",https://breadforthecity.org/food/,https://breadforthecity.org/wp-content/uploads/2023/01/logo.svg,
0004,Project Create Arts Center,"2208 Martin Luther King Jr Ave SE, Washington, DC 20020",youth_focused,"38.864610878888385, -76.989634088033",(202) 889-0655,"Project Create is a community-based nonprofit that promotes creative youth development through multi-disciplinary arts education, arts enrichment, and art therapy. Project Create staff and teaching artists have been working with children, youth, and families in Washington DC for thirty years. Our students participate in out-of-school-time art classes, workshops, open studios, field trips, and exhibition and performance opportunities. ",https://projectcreatedc.org/,https://projectcreatedc.org/wp-content/uploads/2022/03/Project-Create-Logo-768x327.png,
0005,Little Lights,"760 7th St SE, Washington, DC 20003",youth_focused,"38.87963358362598, -76.99592594949335",(202) 548-4021,"Today Little Lights continues to holistically serves roughly 250 students and 250 adults each year who live in DC's public housing communities. Our mission is to empower underserved youth, families, and communities in Washington DC by sharing the hope of Christ through compassionate action, caring relationships, and racial reconciliation.",https://littlelights.org/,https://cdn.corenexis.com/f/00FGfAQ2Dau.png,
0006,Access Youth Inc ,"1101 30th St NW, Washington, DC 20007",youth_focused,"38.90454430322531, -77.05872709174078",(202) 652-0287,"Access Youth’s mission is to keep vulnerable youth in school and out of the justice system through mediation, restorative justice, and positive youth development. Access Youth is committed to changing the trajectory for at-risk students, transforming warning signs into opportunities for connection, growth, and success. Here in Washington, DC, every young person deserves the chance to thrive and succeed. By investing in our youth today, we will ensure a safe and thriving community for the future. ",https://www.accessyouthinc.org/,https://images.squarespace-cdn.com/content/v1/6581ec14016d3423f4d02863/0fa8ca46-82a0-46e0-9c44-bdfd5ba41f37/access_youth_logo_web.png?format=1500w,
0007,BOSSDC Nonprofit for Youth Development ,"1231 Marion Barry Ave SE, Washington, DC 20020",youth_focused,"38.867206716532706, -76.9875512457057",(202) 903-8638,"Beta Omega Social Services (also known as ‘BOSS’) was established in 2003 as a 501 c (3) Non-Profit organization by the Washington DC Alumni chapter of Iota Phi Theta Fraternity, Inc. The organization was established as a public charity organization to support the perpetual development of underserved communities within the Washington DC metropolitan area.
​Beta Omega Social Services has adopted a set of programs designed to improve the physical, economic and communal well-being of youth and families. ",https://www.bossdc.org/,https://www.bossdc.org/wp-content/uploads/al_opt_content/IMAGE/www.bossdc.org/wp-content/uploads/2025/10/76945462.png.bv.webp?bv_host=www.bossdc.org,
0008,"Active Minds, Inc. ","2001 S St NW #700, Washington, DC 20009 ",youth_focused,"38.91441085125684, -77.04514677454003",(202) 332-9595,"Active Minds mobilizes youth and young adults to lead a transformative movement in mental health, forever changing how it is valued and prioritized in society. By equipping, connecting, and amplifying the collective and diverse voices of youth and young adults, we are building a movement of lasting champions who are improving mental health norms for all.",https://activeminds.org/,https://assets.activeminds.org/wp-content/uploads/2025/03/active_minds-logo-stacked-full_color-NAV.png?strip=all,
0009,City Blossoms,"516 Kennedy St NW, Washington, DC 20011",youth_focused,"38.956436547090696, -77.0207382033746",(202) 882-2628,"City Blossoms uses our unique model of community engagement built on four key areas of focus: healthy living habits, community development, environmental education, and artistic expression. City Blossoms' programming is tailored to meet the unique needs of the communities we collaborate with. We develop multi-year partnerships with other community-based organizations and schools and incorporate direct feedback from our participants, to support the growth and sustainability of each project. Each garden reflects the creativity and passion of the children and youth who use them. Our philosophy: cultivating accessible green spaces where children and youth engage with the environment and each other creates a path for our young people to become the next generation of stewards and community advocates.",https://cityblossoms.org/,https://images.squarespace-cdn.com/content/v1/5556a39be4b0741e9be3f1e4/1433007050216-Z0IZD0YGMG6Q7UX5WT2K/cityblossoms_logo2_bgy_just+words.jpg?format=1500w,
0010,Greater Fellowship Gospel Baptist Church ,"814 Alabama Ave SE, Washington, DC 20032 ",church,"38.84408757148174, -76.9939754417433",(202) 561-5594,"Greater Fellowship Gospel Baptist Church is a church that has the vision to bring people to Jesus and Membership in His Family;
to develop them in Christ like Maturity; to equip them for their Ministry in the church, and life Mission in the world; In order to magnify God’s name. (Adapted from Saddleback Church)",https://greaterfellowshipdc.org/,https://storage1.snappages.site/3VDZR8/assets/images/6128814_2000x2000_500.png,
0011,Calvary Episcopal Church ,"820 6th St NE, Washington, DC 20002 ",church,"38.90367379401674, -76.99940244319819",(202) 546-8011,Calvary Episcopal Church’s mission is rooted in following Jesus and serving the world as part of God’s mission for the reconciliation and flourishing of all things (the Missio Dei) The church sees itself as a gathering of people who seek to live out their faith through both worship and active service.,https://calvarydc.net/,https://cdn.phototourl.com/free/2026-07-14-b5067835-f8d9-4039-b6bf-294d74979a63.png,
0012,Cathedral of St. Matthew the Apostle ,"1725 Rhode Island Ave NW, Washington, DC 20036",church,"38.906642491355825, -77.04010684570395",(202) 347-3215,"We, the Roman Catholic Cathedral of Saint Matthew the Apostle, Mother Church of the Archdiocese of Washington, are a diverse and multi-cultural parish in our nation’s capital under the care of our Archbishop. As a Christian community of faith, we seek to become closer to God through worship, prayer, sacraments, spiritual formation, and fellowship. Strengthened by this, we go forth proclaiming the good news of salvation in Christ Jesus and serving our brothers and sisters with our time, talents, and treasure. Through our evangelization in word and deed, we strive to be the light of the world as proclaimed by Saint Matthew.",https://www.stmatthewscathedral.org/,https://cdn.phototourl.com/free/2026-07-14-437852e2-0041-431d-95e8-2db76b05b1bf.png,
0013,The United Church ,"1920 G St NW, Washington, DC 20006",church,"38.89832666710424, -77.04472391872262",(202) 331-1495,"The United Church represents a union of three traditions - the United Church of Christ, the United Methodist Church, and German heritage. We rejoice in our heritage and our oneness. We welcome you, wherever you are in your journey, and invite you to participate in the joy of our lives together. We believe in an open approach to faith at The United Church. Our beliefs, the people behind our work, and our history are made to be open and accessible to all.",https://www.theunitedchurch.org/,https://cdn.phototourl.com/free/2026-07-14-0a02ca6b-8201-46a8-b491-6b2a9c70db78.png,
0014,Martha's Table Market at the Maycroft - Grocery Distribution,"1474 Columbia Rd NW, Washington, DC 20009",food_bank,"38.93053817890354, -77.03510790885386",(202) 328-6608,"At Martha’s Table, our mission is to support strong children, strong families, and strong communities. Since 1980, Martha’s Table has been a symbol of dignity, equity, and opportunity in Washington, DC. What began with a sandwich and a safe space for youth after school on 14th Street NW has grown into a powerful, community-centered organization serving over 45,000 neighbors each year through high-quality education, healthy food and wellness initiatives, family support, and investments that spark opportunity and strengthen community. To further our impact, we relocated our headquarters in 2019 to the heart of Ward 8, ensuring we remain deeply connected to the neighborhoods we serve.",https://marthastable.org/healthandwellness/,https://marthastable.org/wp-content/uploads/2019/03/logo.svg,
0015,Martha's Table at The Commons,"2375 Elvans Rd SE, Washington, DC 20020",food_bank,"38.85547838903769, -76.98464821854104",(202)-328-6608,"Our work is guided by the wisdom and leadership of our neighbors and rooted in the belief that strong communities are built by investing in people. We are committed to walking alongside our neighbors, creating opportunities, and strengthening the foundations that allow children and families to succeed.",https://marthastable.org/,https://marthastable.org/wp-content/uploads/2019/03/logo.svg,
0016,National Youth Employment Coalition,"1155 15th St NW Ste 725, Washington, DC 20005",youth_focused,"38.90519438757766, -77.03431500993882",(202) 780-5928,[Insert Paragraph],https://nyec.org/,https://nyec.org/wp-content/uploads/2019/01/NYEC-Logo-FullColor-LG.png,
0017,Career Path DC,"3215 Martin Luther King Jr Ave SE, Washington, DC 20032",career_workforce,"38.84322146725434, -77.00128734552324",(202) 400-4635,[Insert Paragraph],http://www.careerpathdc.org/CPDC.JPG,http://www.careerpathdc.org/CPDC.JPG,
0018,Coalition For Non Profit Housing and Economic Development,"727 15th St NW #600, Washington, DC 20005",career_workforce,"38.89977136470365, -77.0332032166846",(202) 745-0902,[Insert Paragraph],https://thecoalitiondc.org/,https://thecoalitiondc.org/wp-content/uploads/2024/12/Coalition-Logo_Header.png,
0019,,,,,,[Insert Paragraph],,,
0020,,,,,,[Insert Paragraph],,,
0021,,,,,,[Insert Paragraph],,,
0022,,,,,,[Insert Paragraph],,,
0023,,,,,,[Insert Paragraph],,,
0024,,,,,,[Insert Paragraph],,,
0025,,,,,,,,,
0026,,,,,,,,,
0027,,,,,,,,,
0028,,,,,,,,,
0029,,,,,,,,,
0030,,,,,,,,,
0031,,,,,,,,,
0032,,,,,,,,,
0033,,,,,,,,,
0034,,,,,,,,,
0035,,,,,,,,,
0036,,,,,,,,,
0037,,,,,,,,,
0038,,,,,,,,,
0039,,,,,,,,,
0040,,,,,,,,,
0041,,,,,,,,,
0042,,,,,,,,,
0043,,,,,,,,,
0044,,,,,,,,,
0045,,,,,,,,,
0046,,,,,,,,,
0047,,,,,,,,,
0048,,,,,,,,,
0049,,,,,,,,,
0050,,,,,,,,,
0051,,,,,,,,,
0052,,,,,,,,,
0053,,,,,,,,,
0054,,,,,,,,,
0055,,,,,,,,,
0056,,,,,,,,,
0057,,,,,,,,,
0058,,,,,,,,,
0059,,,,,,,,,
0060,,,,,,,,,
0061,,,,,,,,,
0062,,,,,,,,,
0063,,,,,,,,,
0064,,,,,,,,,
0065,,,,,,,,,
0066,,,,,,,,,
0067,,,,,,,,,
0068,,,,,,,,,
0069,,,,,,,,,
0070,,,,,,,,,
0071,,,,,,,,,
0072,,,,,,,,,
0073,,,,,,,,,
0074,,,,,,,,,
0075,,,,,,,,,
0076,,,,,,,,,
0077,,,,,,,,,
0078,,,,,,,,,
0079,,,,,,,,,
0080,,,,,,,,,
0081,,,,,,,,,
0082,,,,,,,,,
0083,,,,,,,,,
0084,,,,,,,,,
0085,,,,,,,,,
0086,,,,,,,,,
0087,,,,,,,,,
0088,,,,,,,,,
0089,,,,,,,,,
0090,,,,,,,,,
0091,,,,,,,,,
0092,,,,,,,,,
0093,,,,,,,,,
0094,,,,,,,,,
0095,,,,,,,,,
0096,,,,,,,,,
0097,,,,,,,,,
0098,,,,,,,,,
0099,,,,,,,,,
0100,,,,,,,,,
